source,year,construct_patterns,comment_count,total_comments,ratio_per_comment
Usenet,1996,3,3,5034,0.0005959475566150178
Usenet,1997,16,16,33669,0.000475214589087885
Usenet,1998,21,21,57144,0.0003674926501469971
Usenet,1999,42,42,218891,0.0001918763220050162
Usenet,2000,46,46,125581,0.00036629744945493347
Usenet,2001,65,60,117391,0.0005537051392355462
Usenet,2002,27,27,71357,0.00037837913589416596
Usenet,2003,30,30,96894,0.00030961669453216916
Usenet,2004,42,42,83314,0.000504116955133591
Usenet,2005,127,127,131331,0.000967022256740602
Usenet,2006,11,11,106301,0.00010347974148879127
Usenet,2007,32,31,93792,0.000341180484476288
Usenet,2008,19,19,133116,0.000142732654226389
Usenet,2009,119,107,255049,0.0004665770106920631
Usenet,2010,77,77,358598,0.00021472512395495793
Usenet,2011,125,124,405030,0.00030861911463348396
Usenet,2012,49,49,292580,0.00016747556223938753
Usenet,2013,6,6,129981,4.616059270201029e-05
