source,year,objective_count,subjective_count,possessive_count,comment_count,total_comments,ratio_objective_per_comment,ratio_subjective_per_comment,ratio_possessive_per_comment
Usenet,1996,12,51,87,6,5034,0.0023837902264600714,0.010131108462455305,0.01728247914183552
Usenet,1997,300,92,94,19,33669,0.008910273545397843,0.0027324838872553386,0.0027918857108913246
Usenet,1998,685,222,276,44,57144,0.011987260254794904,0.0038849223015539687,0.004829903401931962
Usenet,1999,1457,434,1875,187,218891,0.0066562809800311575,0.001982721994051834,0.008565907232366795
Usenet,2000,761,228,568,64,125581,0.00605983389206966,0.0018155612712114093,0.004522977201965266
Usenet,2001,910,206,576,74,117391,0.007751871949297646,0.0017548193643465001,0.004906679387687301
Usenet,2002,2371,304,617,152,71357,0.033227293748335836,0.004260268789326905,0.0086466639572852
Usenet,2003,2259,299,365,130,96894,0.02331413709827234,0.0030858463888372863,0.003767003116808058
Usenet,2004,1249,152,286,76,83314,0.014991478022901314,0.0018244232661977578,0.003432796408766834
Usenet,2005,1152,160,434,80,131331,0.00877172944696987,0.001218295756523593,0.003304627239570246
Usenet,2006,2831,388,588,174,106301,0.02663192255952437,0.0036500126997864556,0.0055314625450372055
Usenet,2007,1125,168,528,84,93792,0.011994626407369499,0.0017911975435005118,0.005629477993858751
Usenet,2008,717,128,528,64,133116,0.005386279635806364,0.0009615673547883049,0.003966465338501758
Usenet,2009,1470,213,400,89,255049,0.005763598367372544,0.0008351336409866339,0.001568326086359876
Usenet,2010,1036,204,748,93,358598,0.0028890289404848884,0.0005688821465819664,0.0020859012041338767
Usenet,2011,3873,3058,6490,431,405030,0.009562254647803867,0.007550058020393551,0.016023504431770485
Usenet,2012,1924,2168,535,116,292580,0.006575979219358808,0.007409939161938615,0.0018285597101647412
Usenet,2013,175,26,84,13,129981,0.0013463506204753003,0.00020002923504204462,0.0006462482978281441
